genome	family	locus	copies	gtdb_taxonomy	phylum	class
GCA_016933055.1	ArchPhaZ_hydrolase	JAFGBS010000011.1_34	1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__Promethearchaeaceae;g__AMARA-1;s__AMARA-1 sp016933055	Asgardarchaeota	Lokiarchaeia
GCA_016936135.1	ArchPhaZ_hydrolase	JAFGPP010000081.1_1	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAFGPP01;s__JAFGPP01 sp016936135	Thermoplasmatota	E2
GCA_018334795.1	ArchPhaZ_hydrolase	JAGXLH010000056.1_5	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp018334795	Thermoplasmatota	E2
GCA_020341795.1	ArchPhaZ_hydrolase	CP070836.1_623	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__M9B1D;s__M9B1D sp020341795	Thermoplasmatota	E2
GCA_020345645.1	ArchPhaZ_hydrolase	CP070765.1_1235	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__SOJC01;g__JAGLZJ01;s__JAGLZJ01 sp020345645	Thermoproteota	Bathyarchaeia
GCA_020348445.1	ArchPhaZ_hydrolase	CP070751.1_357	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__GCA-020350865;f__GCA-020350865;g__GCA-020348445;s__GCA-020348445 sp020348445	Thermoplasmatota	Thermoplasmata
GCA_020356005.1	ArchPhaZ_hydrolase	CP070629.1_1400	1	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__JAEHCK01;f__GCA-020356005;g__GCA-020356005;s__GCA-020356005 sp020356005	Thermoplasmatota	Penumbrarchaeia
GCA_021325135.1	ArchPhaZ_hydrolase	JAJPHT010000050.1_38	1	d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__JACQPN01;f__JAJPHT01;g__JAJPHT01;s__JAJPHT01 sp021325135	Thermoplasmatota	SW-10-69-26
GCA_021809545.1	ArchPhaZ_hydrolase	JAKAYL010000022.1_16	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAJYEA01;s__JAJYEA01 sp021809545	Thermoplasmatota	Thermoplasmata
GCA_022749845.1	ArchPhaZ_hydrolase	JAKIWX010000025.1_12	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKIVR01;s__JAKIVR01 sp022749845	Thermoplasmatota	Thermoplasmata
GCA_022749895.1	ArchPhaZ_hydrolase	JAKIWS010000003.1_43	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp022749895	Thermoplasmatota	Thermoplasmata
GCA_022749895.1	ArchPhaZ_hydrolase	JAKIWS010000024.1_16	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp022749895	Thermoplasmatota	Thermoplasmata
GCA_022749995.1	ArchPhaZ_hydrolase	JAKIWO010000014.1_13	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKIVR01;s__JAKIVR01 sp022749995	Thermoplasmatota	Thermoplasmata
GCA_022750125.1	ArchPhaZ_hydrolase	JAKIWH010000101.1_4	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKIVR01;s__JAKIVR01 sp022750125	Thermoplasmatota	Thermoplasmata
GCA_022750195.1	ArchPhaZ_hydrolase	JAKIWE010000006.1_130	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp022750195	Thermoplasmatota	Thermoplasmata
GCA_022750205.1	ArchPhaZ_hydrolase	JAKIWD010000019.1_8	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp022750205	Thermoplasmatota	Thermoplasmata
GCA_022750295.1	ArchPhaZ_hydrolase	JAKIVZ010000001.1_54	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma silvani	Thermoplasmatota	Thermoplasmata
GCA_022750415.1	ArchPhaZ_hydrolase	JAKIVT010000024.1_2	3	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp022750415	Thermoplasmatota	Thermoplasmata
GCA_022750415.1	ArchPhaZ_hydrolase	JAKIVT010000030.1_13	3	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp022750415	Thermoplasmatota	Thermoplasmata
GCA_022750415.1	ArchPhaZ_hydrolase	JAKIVT010000043.1_8	3	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp022750415	Thermoplasmatota	Thermoplasmata
GCA_022750455.1	ArchPhaZ_hydrolase	JAKIVR010000029.1_8	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKIVR01;s__JAKIVR01 sp022750455	Thermoplasmatota	Thermoplasmata
GCA_023130895.1	ArchPhaZ_hydrolase	JAGMAI010000118.1_18	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp023130895	Thermoplasmatota	Thermoplasmata
GCA_023136265.1	ArchPhaZ_hydrolase	JAGLRN010000009.1_29	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp023136265	Thermoplasmatota	Thermoplasmata
GCA_023140035.1	ArchPhaZ_hydrolase	JAGLML010000156.1_1	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAGLML01;s__JAGLML01 sp023140035	Thermoplasmatota	E2
GCA_025457865.1	ArchPhaZ_hydrolase	JALOTP010000030.1_25	1	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__Penumbrarchaeales;f__Penumbrarchaeaceae;g__JALOTP01;s__JALOTP01 sp025457865	Thermoplasmatota	Penumbrarchaeia
GCA_026014875.1	ArchPhaZ_hydrolase	JAOZHO010000034.1_69	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__GCA-2726865;s__GCA-2726865 sp026014875	Thermoproteota	Bathyarchaeia
GCA_026394495.1	ArchPhaZ_hydrolase	JAPKYE010000024.1_1	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__CAIYYQ01;s__CAIYYQ01 sp026394495	Thermoplasmatota	E2
GCA_027062125.1	ArchPhaZ_hydrolase	JAMOTW010000192.1_4	1	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus sp027062125	Methanobacteriota_B	Thermococci
GCA_027314165.1	ArchPhaZ_hydrolase	DAHVCH010000002.1_36	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKAAX01;s__JAKAAX01 sp027314165	Thermoplasmatota	Thermoplasmata
GCA_027315455.1	ArchPhaZ_hydrolase	DAHUXZ010000011.1_13	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp027315455	Thermoplasmatota	Thermoplasmata
GCA_028679275.1	ArchPhaZ_hydrolase	JAJRBV010000047.1_2	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA9949;s__UBA9949 sp028679275	Halobacteriota	Methanomicrobia
GCA_028679315.1	ArchPhaZ_hydrolase	JAJRBU010000119.1_3	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA9949;s__UBA9949 sp028679315	Halobacteriota	Methanomicrobia
GCA_028864975.1	ArchPhaZ_hydrolase	JAGWLG010000041.1_18	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKAAX01;s__JAKAAX01 sp028864975	Thermoplasmatota	Thermoplasmata
GCA_028864975.1	ArchPhaZ_hydrolase	JAGWLG010000042.1_13	2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__JAKAAX01;s__JAKAAX01 sp028864975	Thermoplasmatota	Thermoplasmata
GCA_029762575.1	ArchPhaZ_hydrolase	JARVGL010000047.1_5	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp029762575	Thermoplasmatota	E2
GCA_029762625.1	ArchPhaZ_hydrolase	JARVGI010000004.1_5	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__DSDF01;s__DSDF01 sp029762625	Halobacteriota	Methanomicrobia
GCA_029776125.1	ArchPhaZ_hydrolase	JARVJS010000014.1_22	1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__JACIWG01;f__JACIWG01;g__JACIWG01;s__JACIWG01 sp029776125	Thermoproteota	Nitrososphaeria
GCA_029907305.1	ArchPhaZ_hydrolase	JARYMC010000023.1_1	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JARYMC01;s__JARYMC01 sp029907305	Thermoplasmatota	E2
GCA_029939595.1	ArchPhaZ_hydrolase	JAOZSQ010000051.1_7	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp002254885	Thermoplasmatota	E2
GCA_030037815.1	ArchPhaZ_hydrolase	JASHPZ010000055.1_23	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp030037815	Thermoplasmatota	Thermoplasmata
GCA_030040035.1	ArchPhaZ_hydrolase	JASHUJ010000009.1_4	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp030040035	Thermoplasmatota	Thermoplasmata
GCA_030044475.1	ArchPhaZ_hydrolase	JASHVP010000189.1_6	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp030044475	Thermoplasmatota	Thermoplasmata
GCA_030595765.1	ArchPhaZ_hydrolase	JAUVCJ010000198.1_1	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__GCA-020350865;f__JAUVCJ01;g__JAUVCJ01;s__JAUVCJ01 sp030595765	Thermoplasmatota	Thermoplasmata
GCA_030597775.1	ArchPhaZ_hydrolase	JAUVRF010000207.1_1	1	d__Archaea;p__Thermoplasmatota;c__DTKX01;o__DTKX01;f__GCA-020343715;g__GCA-020343715;s__GCA-020343715 sp030597775	Thermoplasmatota	DTKX01
GCA_030605245.1	ArchPhaZ_hydrolase	JAUWIS010000172.1_1	1	d__Archaea;p__Thermoplasmatota;c__JASEFT01;o__JASEFT01;f__JAUWIS01;g__JAUWIS01;s__JAUWIS01 sp030605245	Thermoplasmatota	JASEFT01
GCA_030605805.1	ArchPhaZ_hydrolase	JAUWHQ010000198.1_12	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanogasteraceae;g__Methanogaster_D;s__Methanogaster_D sp030605805	Halobacteriota	Methanosarcinia
GCA_030606465.1	ArchPhaZ_hydrolase	JAUWGL010000101.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__JAUWGL01;s__JAUWGL01 sp030606465	Thermoplasmatota	E2
GCA_030606635.1	ArchPhaZ_hydrolase	JAUWGA010000048.1_9	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanogasteraceae;g__Methanogaster_A;s__Methanogaster_A sp030606635	Halobacteriota	Methanosarcinia
GCA_030640725.1	ArchPhaZ_hydrolase	DAOWIV010000175.1_2	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanogasteraceae;g__Methanogaster_D;s__Methanogaster_D sp030640725	Halobacteriota	Methanosarcinia
GCA_030672305.1	ArchPhaZ_hydrolase	DAOVGR010000014.1_20	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SG8-52-3;s__SG8-52-3 sp030672305	Thermoplasmatota	E2
GCA_030672345.1	ArchPhaZ_hydrolase	DAOVGO010000045.1_2	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanogasteraceae;g__Methanogaster_D;s__Methanogaster_D sp030672345	Halobacteriota	Methanosarcinia
GCA_030739585.1	ArchPhaZ_hydrolase	JASLYX010000007.1_26	1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__GCA-2726865;s__GCA-2726865 sp030739585	Thermoproteota	Bathyarchaeia
GCA_030748895.1	ArchPhaZ_hydrolase	JASMLC010000002.1_85	1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__UBA8886;s__UBA8886 sp002509165	Thermoplasmatota	Poseidoniia
GCA_030754655.1	ArchPhaZ_hydrolase	JASLZX010000004.1_66	1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__UBA8886;s__UBA8886 sp002731655	Thermoplasmatota	Poseidoniia
GCA_031285085.1	ArchPhaZ_hydrolase	JAITWW010000125.1_6	1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanofilum;s__Methanofilum arcanum	Halobacteriota	Methanomicrobia
GCA_034660415.1	ArchPhaZ_hydrolase	JAYEJE010000327.1_2	1	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Alkanophagales;f__Methanospirareceae;g__Methanophaga;s__Methanophaga sp034660415	Halobacteriota	Syntropharchaeia
GCA_034660695.1	ArchPhaZ_hydrolase	JAYEJS010000087.1_5	2	d__Archaea;p__Thermoplasmatota;c__E2;o__UBA202;f__DSCA01;g__JAYEJS01;s__JAYEJS01 sp034660695	Thermoplasmatota	E2
GCA_034660695.1	ArchPhaZ_hydrolase	JAYEJS010000152.1_4	2	d__Archaea;p__Thermoplasmatota;c__E2;o__UBA202;f__DSCA01;g__JAYEJS01;s__JAYEJS01 sp034660695	Thermoplasmatota	E2
GCA_035283365.1	ArchPhaZ_hydrolase	DATETY010000050.1_14	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp035283365	Thermoplasmatota	Thermoplasmata
GCA_035299725.1	ArchPhaZ_hydrolase	DATGWB010000127.1_10	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp035299725	Thermoplasmatota	Thermoplasmata
GCA_035499145.1	ArchPhaZ_hydrolase	DATJZK010000094.1_7	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp035499145	Thermoplasmatota	Thermoplasmata
GCA_035502055.1	ArchPhaZ_hydrolase	DATJVB010000019.1_4	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp035502055	Thermoplasmatota	Thermoplasmata
GCA_035506675.1	ArchPhaZ_hydrolase	DATJOX010000059.1_1	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__UBA472;g__JAJRAL01;s__JAJRAL01 sp035506675	Thermoplasmatota	Thermoplasmata
GCA_035507575.1	ArchPhaZ_hydrolase	DATJNY010000002.1_8	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp035507575	Thermoplasmatota	Thermoplasmata
GCA_035526585.1	ArchPhaZ_hydrolase	DATLCC010000107.1_1	1	d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__JACQPN01;f__JAJPHT01;g__JAJPHT01;s__JAJPHT01 sp035526585	Thermoplasmatota	SW-10-69-26
GCA_035540375.1	ArchPhaZ_hydrolase	DATLGO010000071.1_26	1	d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__JACQPN01;f__JAJPHT01;g__DATLGO01;s__DATLGO01 sp035540375	Thermoplasmatota	SW-10-69-26
GCA_035541015.1	ArchPhaZ_hydrolase	DATLFM010000037.1_18	1	d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__JACQPN01;f__JAIVGT01;g__DATLFM01;s__DATLFM01 sp035541015	Thermoplasmatota	SW-10-69-26
GCA_035543435.1	ArchPhaZ_hydrolase	DATKKD010000085.1_2	1	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50;s__SM1-50 sp035543435	Thermoplasmatota	E2
GCA_035557795.1	ArchPhaZ_hydrolase	DATMDM010000026.1_7	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp035557795	Thermoplasmatota	Thermoplasmata
GCA_035560835.1	ArchPhaZ_hydrolase	DATMYS010000221.1_3	1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp035560835	Halobacteriota	Methanosarcinia
GCA_035626895.1	ArchPhaZ_hydrolase	DASPMU010000061.1_20	1	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__UBA9642;g__UBA9642;s__UBA9642 sp035626895	Nanobdellota	Nanobdellia
GCA_035632035.1	ArchPhaZ_hydrolase	DASQHP010000040.1_1	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Lutacidiplasmatales;f__UBA184;g__Lutacidiplasma;s__Lutacidiplasma sp035632035	Thermoplasmatota	Thermoplasmata
GCA_035636595.1	ArchPhaZ_hydrolase	DASPYU010000021.1_18	1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12;s__RBG-16-68-12 sp035636595	Thermoplasmatota	Thermoplasmata
