genome	contig	hit_locus	hit_family	start	end	strand	nearby_markers
GCA_003176995.1	QHBN01000252.1	QHBN01000252.1_5	ArchPhaZ_patatin	4595	5566	-	
GCA_003551265.1	PUMG01000174.1	PUMG01000174.1_2	ArchPhaZ_patatin	900	1862	+	BdhA;PhaJ
GCA_003552885.1	PUPA01000142.1	PUPA01000142.1_6	ArchPhaZ_patatin	4548	5519	+	
GCA_003559215.1	PWMF01000135.1	PWMF01000135.1_2	ArchPhaZ_patatin	1102	2091	-	
GCA_003569705.1	BGOU01000007.1	BGOU01000007.1_99	ArchPhaZ_patatin	78287	79756	-	
GCA_004322465.1	SCVO01000077.1	SCVO01000077.1_48	ArchPhaZ_patatin	39684	40805	+	
GCA_005877075.1	VBPX01000032.1	VBPX01000032.1_86	ArchPhaZ_patatin	84893	86281	-	
GCA_005877075.1	VBPX01000014.1	VBPX01000014.1_23	ArchPhaZ_patatin	16702	17886	+	
GCA_005877205.1	VBPL01000091.1	VBPL01000091.1_1	ArchPhaZ_patatin	2	922	-	
GCA_005877205.1	VBPL01000014.1	VBPL01000014.1_49	ArchPhaZ_patatin	38782	39867	+	PhaC;PhaE
GCA_005877305.1	VBPW01000021.1	VBPW01000021.1_13	ArchPhaZ_patatin	8347	9492	-	
GCA_005877345.1	VBPR01000197.1	VBPR01000197.1_8	ArchPhaZ_patatin	4424	5608	-	
GCA_005877345.1	VBPR01000177.1	VBPR01000177.1_2	ArchPhaZ_patatin	323	1789	-	
GCA_005877345.1	VBPR01000042.1	VBPR01000042.1_3	ArchPhaZ_patatin	1596	2780	-	
GCA_005877345.1	VBPR01000266.1	VBPR01000266.1_2	ArchPhaZ_patatin	957	2429	+	
GCA_007118075.1	SKSH01000040.1	SKSH01000040.1_4	ArchPhaZ_patatin	1540	2508	-	BdhA
GCA_007122455.1	SKTU01000061.1	SKTU01000061.1_18	ArchPhaZ_patatin	16804	17829	-	BdhA
GCA_007122455.1	SKTU01000095.1	SKTU01000095.1_24	ArchPhaZ_patatin	23419	24387	-	
GCA_007129135.1	SKWB01000220.1	SKWB01000220.1_1	ArchPhaZ_patatin	1	657	-	BdhA
GCA_007135435.1	SLIW01000551.1	SLIW01000551.1_4	ArchPhaZ_patatin	3636	4652	+	
GCA_007280335.1	QYQE01000029.1	QYQE01000029.1_11	ArchPhaZ_patatin	6843	7940	+	
GCA_007280465.1	QYPM01000065.1	QYPM01000065.1_18	ArchPhaZ_patatin	14204	15286	-	BdhA;PhaC;PhaE
GCA_007280465.1	QYPM01000064.1	QYPM01000064.1_3	ArchPhaZ_patatin	1473	2951	-	PhaJ
GCA_009377575.1	WHTU01000001.1	WHTU01000001.1_217	ArchPhaZ_patatin	210671	211477	-	
GCA_009377575.1	WHTU01000037.1	WHTU01000037.1_9	ArchPhaZ_patatin	5253	6572	+	
GCA_009377575.1	WHTU01000046.1	WHTU01000046.1_3	ArchPhaZ_patatin	3291	4469	+	
GCA_009377575.1	WHTU01000004.1	WHTU01000004.1_12	ArchPhaZ_patatin	8303	9712	+	
GCA_009377575.1	WHTU01000068.1	WHTU01000068.1_12	ArchPhaZ_patatin	10061	11275	+	
GCA_009377575.1	WHTU01000007.1	WHTU01000007.1_43	ArchPhaZ_patatin	39702	40427	-	
GCA_009379865.1	WHSX01000100.1	WHSX01000100.1_3	ArchPhaZ_patatin	3947	5344	+	
GCA_009379865.1	WHSX01000122.1	WHSX01000122.1_5	ArchPhaZ_patatin	2910	4367	-	BdhA
GCA_009379865.1	WHSX01000146.1	WHSX01000146.1_3	ArchPhaZ_patatin	746	2164	+	
GCA_009379865.1	WHSX01000244.1	WHSX01000244.1_4	ArchPhaZ_patatin	2243	3292	-	
GCA_009379865.1	WHSX01000002.1	WHSX01000002.1_19	ArchPhaZ_patatin	21553	22773	+	
GCA_009379865.1	WHSX01000321.1	WHSX01000321.1_2	ArchPhaZ_patatin	372	1670	+	
GCA_009379865.1	WHSX01000038.1	WHSX01000038.1_7	ArchPhaZ_patatin	9329	10516	-	
GCA_009665115.1	WJXE01000023.1	WJXE01000023.1_4	ArchPhaZ_patatin	2152	3297	-	
GCA_009665115.1	WJXE01000228.1	WJXE01000228.1_1	ArchPhaZ_patatin	419	1879	-	
GCA_009665115.1	WJXE01000295.1	WJXE01000295.1_3	ArchPhaZ_patatin	1977	3005	+	
GCA_009665115.1	WJXE01000059.1	WJXE01000059.1_7	ArchPhaZ_patatin	6231	7376	+	BdhA
GCA_009665115.1	WJXE01000061.1	WJXE01000061.1_2	ArchPhaZ_patatin	420	1601	+	
GCA_009789175.1	CP046866.1	CP046866.1_2783	ArchPhaZ_patatin	2679327	2680337	-	BdhA
GCA_012026795.1	VEPM01000014.1	VEPM01000014.1_89	ArchPhaZ_patatin	88120	89088	-	
GCA_012026795.1	VEPM01000025.1	VEPM01000025.1_35	ArchPhaZ_patatin	25496	26746	+	
GCA_012026835.1	VEPN01000025.1	VEPN01000025.1_23	ArchPhaZ_patatin	29757	30725	+	
GCA_012026835.1	VEPN01000049.1	VEPN01000049.1_1	ArchPhaZ_patatin	133	1083	-	
GCA_013114715.1	QCWB01000002.1	QCWB01000002.1_44	ArchPhaZ_patatin	38575	39807	-	BdhA
GCA_013114715.1	QCWB01000098.1	QCWB01000098.1_8	ArchPhaZ_patatin	4591	5712	-	
GCA_013288545.1	JABDBR010000007.1	JABDBR010000007.1_58	ArchPhaZ_patatin	40677	41759	+	PhaC;PhaE
GCA_013538675.1	JACAFJ010000024.1	JACAFJ010000024.1_1	ArchPhaZ_patatin	3	1064	+	BdhA
GCA_013538805.1	JABXGR010000001.1	JABXGR010000001.1_269	ArchPhaZ_patatin	234973	236115	-	BdhA
GCA_013694585.1	JACDCB010000022.1	JACDCB010000022.1_20	ArchPhaZ_patatin	19306	20526	+	
GCA_013694585.1	JACDCB010000202.1	JACDCB010000202.1_2	ArchPhaZ_patatin	731	1927	+	
GCA_013694585.1	JACDCB010000048.1	JACDCB010000048.1_8	ArchPhaZ_patatin	9586	10809	-	
GCA_013694585.1	JACDCB010000243.1	JACDCB010000243.1_1	ArchPhaZ_patatin	1502	2665	-	
GCA_013821245.1	JACDHC010000294.1	JACDHC010000294.1_2	ArchPhaZ_patatin	330	1379	+	
GCA_013821245.1	JACDHC010000112.1	JACDHC010000112.1_2	ArchPhaZ_patatin	1025	2257	-	
GCA_013821245.1	JACDHC010000008.1	JACDHC010000008.1_5	ArchPhaZ_patatin	2802	3557	+	BdhA
GCA_013821245.1	JACDHC010000008.1	JACDHC010000008.1_15	ArchPhaZ_patatin	13137	14525	+	BdhA
GCA_013821245.1	JACDHC010000144.1	JACDHC010000144.1_3	ArchPhaZ_patatin	1902	3140	+	
GCA_013821245.1	JACDHC010000161.1	JACDHC010000161.1_6	ArchPhaZ_patatin	3558	4655	-	
GCA_013911135.1	JACERO010000024.1	JACERO010000024.1_3	ArchPhaZ_patatin	1406	2248	-	
GCA_014523485.1	JAATVK010000030.1	JAATVK010000030.1_3	ArchPhaZ_patatin	2361	3539	+	
GCA_014523495.1	JAATVM010000103.1	JAATVM010000103.1_4	ArchPhaZ_patatin	1984	3162	+	
GCA_014523495.1	JAATVM010000214.1	JAATVM010000214.1_1	ArchPhaZ_patatin	263	1708	-	
GCA_014523525.1	JAATVL010000030.1	JAATVL010000030.1_15	ArchPhaZ_patatin	10861	12045	-	
GCA_014523625.1	JAATVP010000096.1	JAATVP010000096.1_3	ArchPhaZ_patatin	1213	2625	-	
GCA_014523625.1	JAATVP010000228.1	JAATVP010000228.1_8	ArchPhaZ_patatin	7554	8315	+	
GCA_014523625.1	JAATVP010000237.1	JAATVP010000237.1_6	ArchPhaZ_patatin	5571	6782	+	BdhA
GCA_014523625.1	JAATVP010000259.1	JAATVP010000259.1_11	ArchPhaZ_patatin	14403	15632	-	
GCA_014523625.1	JAATVP010000055.1	JAATVP010000055.1_10	ArchPhaZ_patatin	6227	7612	+	
GCA_014523665.1	JAATVR010000252.1	JAATVR010000252.1_6	ArchPhaZ_patatin	3669	5066	-	
GCA_014523665.1	JAATVR010000294.1	JAATVR010000294.1_2	ArchPhaZ_patatin	2127	3530	+	
GCA_014523665.1	JAATVR010000357.1	JAATVR010000357.1_3	ArchPhaZ_patatin	1277	2080	-	
GCA_014523665.1	JAATVR010000368.1	JAATVR010000368.1_2	ArchPhaZ_patatin	764	1978	+	
GCA_014523665.1	JAATVR010000004.1	JAATVR010000004.1_10	ArchPhaZ_patatin	7027	7638	-	
GCA_014523665.1	JAATVR010000384.1	JAATVR010000384.1_2	ArchPhaZ_patatin	717	1877	+	
GCA_014523665.1	JAATVR010000428.1	JAATVR010000428.1_3	ArchPhaZ_patatin	2894	4186	+	
GCA_014523665.1	JAATVR010000041.1	JAATVR010000041.1_11	ArchPhaZ_patatin	9291	10517	+	
GCA_014523665.1	JAATVR010000493.1	JAATVR010000493.1_5	ArchPhaZ_patatin	3392	4861	+	
GCA_014523665.1	JAATVR010000545.1	JAATVR010000545.1_1	ArchPhaZ_patatin	3	1064	+	
GCA_014523665.1	JAATVR010000674.1	JAATVR010000674.1_2	ArchPhaZ_patatin	195	845	-	
GCA_014523665.1	JAATVR010000686.1	JAATVR010000686.1_8	ArchPhaZ_patatin	6497	7792	+	
GCA_014523665.1	JAATVR010000690.1	JAATVR010000690.1_7	ArchPhaZ_patatin	6648	7586	+	
GCA_014523665.1	JAATVR010000759.1	JAATVR010000759.1_3	ArchPhaZ_patatin	3327	3986	+	
GCA_014523665.1	JAATVR010000099.1	JAATVR010000099.1_3	ArchPhaZ_patatin	2042	3412	-	
GCA_014523665.1	JAATVR010000812.1	JAATVR010000812.1_2	ArchPhaZ_patatin	398	1063	+	
GCA_014523685.1	JAATVT010000112.1	JAATVT010000112.1_6	ArchPhaZ_patatin	7196	8455	+	
GCA_014523685.1	JAATVT010000038.1	JAATVT010000038.1_7	ArchPhaZ_patatin	6109	7215	+	
GCA_014523685.1	JAATVT010000043.1	JAATVT010000043.1_1	ArchPhaZ_patatin	76	846	+	
GCA_014523695.1	JAATVS010000046.1	JAATVS010000046.1_8	ArchPhaZ_patatin	5603	7090	-	
GCA_014523695.1	JAATVS010000310.1	JAATVS010000310.1_7	ArchPhaZ_patatin	2956	3810	+	
GCA_014523695.1	JAATVS010000080.1	JAATVS010000080.1_4	ArchPhaZ_patatin	2705	3865	-	
GCA_014523695.1	JAATVS010000513.1	JAATVS010000513.1_10	ArchPhaZ_patatin	7368	8852	+	
GCA_014523695.1	JAATVS010000519.1	JAATVS010000519.1_10	ArchPhaZ_patatin	7851	9344	-	
GCA_014523695.1	JAATVS010000555.1	JAATVS010000555.1_2	ArchPhaZ_patatin	393	1715	-	
GCA_014523695.1	JAATVS010000619.1	JAATVS010000619.1_3	ArchPhaZ_patatin	3285	4673	-	
GCA_014523695.1	JAATVS010000681.1	JAATVS010000681.1_5	ArchPhaZ_patatin	3592	4464	-	
GCA_014523695.1	JAATVS010000703.1	JAATVS010000703.1_3	ArchPhaZ_patatin	2732	3889	-	
GCA_014523695.1	JAATVS010000174.1	JAATVS010000174.1_1	ArchPhaZ_patatin	3	887	-	
GCA_016201435.1	JACQCT010000014.1	JACQCT010000014.1_138	ArchPhaZ_patatin	120347	121477	+	
GCA_016201435.1	JACQCT010000014.1	JACQCT010000014.1_153	ArchPhaZ_patatin	133758	134624	+	
GCA_016201435.1	JACQCT010000014.1	JACQCT010000014.1_200	ArchPhaZ_patatin	181807	182904	+	
GCA_016215465.1	JACRJT010000016.1	JACRJT010000016.1_5	ArchPhaZ_patatin	4328	5428	-	
GCA_016782225.1	JADDOW010000069.1	JADDOW010000069.1_5	ArchPhaZ_patatin	4793	6025	-	
GCA_016782225.1	JADDOW010000086.1	JADDOW010000086.1_14	ArchPhaZ_patatin	12859	14247	+	BdhA
GCA_016782225.1	JADDOW010000078.1	JADDOW010000078.1_64	ArchPhaZ_patatin	60041	61294	+	
GCA_016782315.1	JADDOQ010000011.1	JADDOQ010000011.1_6	ArchPhaZ_patatin	3962	5215	-	
GCA_016782315.1	JADDOQ010000115.1	JADDOQ010000115.1_3	ArchPhaZ_patatin	2899	3909	-	
GCA_016782315.1	JADDOQ010000015.1	JADDOQ010000015.1_14	ArchPhaZ_patatin	11198	12430	-	BdhA
GCA_016782315.1	JADDOQ010000042.1	JADDOQ010000042.1_16	ArchPhaZ_patatin	13153	14625	-	
GCA_016782315.1	JADDOQ010000003.1	JADDOQ010000003.1_47	ArchPhaZ_patatin	36845	38233	-	BdhA
GCA_018900975.1	JAHIFK010000276.1	JAHIFK010000276.1_3	ArchPhaZ_patatin	2178	3167	+	
GCA_019246625.1	JAFAQB010000435.1	JAFAQB010000435.1_8	ArchPhaZ_patatin	6459	7658	-	
GCA_019246625.1	JAFAQB010000173.1	JAFAQB010000173.1_10	ArchPhaZ_patatin	8772	10181	+	
GCA_019246625.1	JAFAQB010000299.1	JAFAQB010000299.1_9	ArchPhaZ_patatin	6464	7186	+	
GCA_019246625.1	JAFAQB010000300.1	JAFAQB010000300.1_2	ArchPhaZ_patatin	386	1537	-	
GCA_019246625.1	JAFAQB010000263.1	JAFAQB010000263.1_4	ArchPhaZ_patatin	2801	3703	-	
GCA_019246625.1	JAFAQB010000439.1	JAFAQB010000439.1_3	ArchPhaZ_patatin	1719	3149	+	
GCA_019246625.1	JAFAQB010000030.1	JAFAQB010000030.1_2	ArchPhaZ_patatin	641	1918	-	
GCA_019246625.1	JAFAQB010000139.1	JAFAQB010000139.1_5	ArchPhaZ_patatin	2780	3895	-	
GCA_019246625.1	JAFAQB010000209.1	JAFAQB010000209.1_4	ArchPhaZ_patatin	2162	3328	-	
GCA_019246625.1	JAFAQB010000240.1	JAFAQB010000240.1_7	ArchPhaZ_patatin	4929	6215	+	
GCA_019246625.1	JAFAQB010000360.1	JAFAQB010000360.1_9	ArchPhaZ_patatin	6299	6943	+	
GCA_020431985.1	JAGQHF010000127.1	JAGQHF010000127.1_9	ArchPhaZ_patatin	6828	7892	-	
GCA_020431995.1	JAGQHE010000057.1	JAGQHE010000057.1_31	ArchPhaZ_patatin	25514	26581	-	
GCA_020724545.1	DYGR01000054.1	DYGR01000054.1_5	ArchPhaZ_patatin	4133	5101	+	
GCA_020724545.1	DYGR01000008.1	DYGR01000008.1_17	ArchPhaZ_patatin	12351	13124	-	
GCA_021323705.1	JAJPKL010000008.1	JAJPKL010000008.1_65	ArchPhaZ_patatin	47128	48234	-	PhaC;PhaE
GCA_021323705.1	JAJPKL010000044.1	JAJPKL010000044.1_34	ArchPhaZ_patatin	23197	24291	-	
GCA_021324715.1	JAJPIN010000201.1	JAJPIN010000201.1_9	ArchPhaZ_patatin	8022	9479	-	
GCA_021324715.1	JAJPIN010000257.1	JAJPIN010000257.1_6	ArchPhaZ_patatin	4576	5625	-	BdhA
GCA_021324715.1	JAJPIN010000125.1	JAJPIN010000125.1_7	ArchPhaZ_patatin	3554	4312	+	
GCA_021324715.1	JAJPIN010000035.1	JAJPIN010000035.1_5	ArchPhaZ_patatin	5389	6867	+	
GCA_021325075.1	JAJPHX010000036.1	JAJPHX010000036.1_12	ArchPhaZ_patatin	8094	9257	-	BdhA
GCA_021325295.1	JAJPHM010000021.1	JAJPHM010000021.1_6	ArchPhaZ_patatin	4464	5738	-	
GCA_021325295.1	JAJPHM010000077.1	JAJPHM010000077.1_19	ArchPhaZ_patatin	16853	18067	+	
GCA_021325295.1	JAJPHM010000057.1	JAJPHM010000057.1_5	ArchPhaZ_patatin	2994	4151	-	
GCA_021325595.1	JAJPGX010000001.1	JAJPGX010000001.1_95	ArchPhaZ_patatin	78970	80037	-	PhaE
GCA_021325615.1	JAJPGU010000008.1	JAJPGU010000008.1_76	ArchPhaZ_patatin	57461	58549	-	PhaC;PhaE
GCA_021325615.1	JAJPGU010000012.1	JAJPGU010000012.1_122	ArchPhaZ_patatin	113820	114563	-	
GCA_021409285.1	JAGFND010000068.1	JAGFND010000068.1_3	ArchPhaZ_patatin	964	1902	-	
GCA_021414365.1	JAIOOR010000021.1	JAIOOR010000021.1_4	ArchPhaZ_patatin	1008	2447	+	
GCA_021796385.1	JAJYXQ010000005.1	JAJYXQ010000005.1_25	ArchPhaZ_patatin	28491	29570	-	
GCA_021809545.1	JAKAYL010000019.1	JAKAYL010000019.1_22	ArchPhaZ_patatin	25853	26974	+	
GCA_022545805.1	JAKEIJ010000178.1	JAKEIJ010000178.1_17	ArchPhaZ_patatin	13274	14356	-	
GCA_022545875.1	JAKEIF010000044.1	JAKEIF010000044.1_1	ArchPhaZ_patatin	1	1095	-	
GCA_022545875.1	JAKEIF010000072.1	JAKEIF010000072.1_5	ArchPhaZ_patatin	3934	4920	+	
GCA_022545875.1	JAKEIF010000074.1	JAKEIF010000074.1_6	ArchPhaZ_patatin	3968	4888	+	
GCA_022545895.1	JAKEIK010000071.1	JAKEIK010000071.1_1	ArchPhaZ_patatin	2	760	+	
GCA_022545895.1	JAKEIK010000157.1	JAKEIK010000157.1_6	ArchPhaZ_patatin	4568	5749	-	
GCA_022545895.1	JAKEIK010000236.1	JAKEIK010000236.1_1	ArchPhaZ_patatin	1	813	-	
GCA_022561895.1	JADFQH010000171.1	JADFQH010000171.1_1	ArchPhaZ_patatin	3	974	-	
GCA_022564515.1	JADFLH010000031.1	JADFLH010000031.1_5	ArchPhaZ_patatin	3047	4177	+	
GCA_022758935.1	JAEMQG010000161.1	JAEMQG010000161.1_5	ArchPhaZ_patatin	2920	4356	-	
GCA_023008585.1	CP095390.1	CP095390.1_398	ArchPhaZ_patatin	390273	391259	+	
GCA_023250885.1	JAHEZV010000002.1	JAHEZV010000002.1_29	ArchPhaZ_patatin	27173	28222	+	BdhA
GCA_023251115.1	JAHEZK010000014.1	JAHEZK010000014.1_15	ArchPhaZ_patatin	15766	16947	-	
GCA_023252015.1	JAHEXS010000058.1	JAHEXS010000058.1_3	ArchPhaZ_patatin	3645	4769	-	
GCA_023252235.1	JAHEXH010000014.1	JAHEXH010000014.1_18	ArchPhaZ_patatin	16231	17307	-	PhaC;PhaE
GCA_023252335.1	JAJPEA010000031.1	JAJPEA010000031.1_6	ArchPhaZ_patatin	2524	3603	-	PhaC;PhaE
GCA_025054855.1	JANWZS010000001.1	JANWZS010000001.1_69	ArchPhaZ_patatin	65187	66467	+	
GCA_025054855.1	JANWZS010000004.1	JANWZS010000004.1_98	ArchPhaZ_patatin	77010	78140	-	
GCA_025350175.1	JANXYF010000024.1	JANXYF010000024.1_5	ArchPhaZ_patatin	2196	3278	-	PhaC;PhaE
GCA_025449485.1	JANWJG010000006.1	JANWJG010000006.1_15	ArchPhaZ_patatin	10222	11304	-	PhaC;PhaE
GCA_025449485.1	JANWJG010000010.1	JANWJG010000010.1_3	ArchPhaZ_patatin	2353	3465	-	
GCA_025449515.1	JANWJI010000007.1	JANWJI010000007.1_4	ArchPhaZ_patatin	3395	4564	-	BdhA
GCA_025449515.1	JANWJI010000032.1	JANWJI010000032.1_4	ArchPhaZ_patatin	2748	3419	-	
GCA_025449515.1	JANWJI010000054.1	JANWJI010000054.1_3	ArchPhaZ_patatin	1601	3079	+	
GCA_025449515.1	JANWJI010000179.1	JANWJI010000179.1_4	ArchPhaZ_patatin	3505	4176	+	
GCA_025449515.1	JANWJI010000200.1	JANWJI010000200.1_5	ArchPhaZ_patatin	4965	6278	+	
GCA_025449675.1	JANWIX010000028.1	JANWIX010000028.1_7	ArchPhaZ_patatin	5487	6296	-	
GCA_025451075.1	JANWLA010000019.1	JANWLA010000019.1_50	ArchPhaZ_patatin	36467	37546	+	PhaC;PhaE
GCA_025451315.1	JANWKP010000041.1	JANWKP010000041.1_1	ArchPhaZ_patatin	2	1351	+	
GCA_025451315.1	JANWKP010000137.1	JANWKP010000137.1_11	ArchPhaZ_patatin	6929	7750	-	
GCA_025451315.1	JANWKP010000163.1	JANWKP010000163.1_1	ArchPhaZ_patatin	266	1345	+	
GCA_025451315.1	JANWKP010000166.1	JANWKP010000166.1_9	ArchPhaZ_patatin	6195	7424	+	
GCA_025451315.1	JANWKP010000275.1	JANWKP010000275.1_6	ArchPhaZ_patatin	9418	10092	+	
GCA_025451315.1	JANWKP010000289.1	JANWKP010000289.1_1	ArchPhaZ_patatin	402	1862	-	
GCA_025451315.1	JANWKP010000308.1	JANWKP010000308.1_1	ArchPhaZ_patatin	3	1361	-	
GCA_025451315.1	JANWKP010000367.1	JANWKP010000367.1_9	ArchPhaZ_patatin	8538	9734	+	
GCA_025922715.1	JAICHH010000062.1	JAICHH010000062.1_5	ArchPhaZ_patatin	3613	4803	-	
GCA_025922715.1	JAICHH010000204.1	JAICHH010000204.1_2	ArchPhaZ_patatin	916	1908	-	
GCA_025922735.1	JAICHI010000013.1	JAICHI010000013.1_3	ArchPhaZ_patatin	1584	2762	-	
GCA_025923455.1	JAICFW010000113.1	JAICFW010000113.1_11	ArchPhaZ_patatin	6871	8055	+	
GCA_025924135.1	JAICEO010000024.1	JAICEO010000024.1_4	ArchPhaZ_patatin	2020	3198	+	
GCA_025924135.1	JAICEO010000071.1	JAICEO010000071.1_9	ArchPhaZ_patatin	9064	10293	+	
GCA_025924135.1	JAICEO010000103.1	JAICEO010000103.1_1	ArchPhaZ_patatin	2	928	-	
GCA_025924135.1	JAICEO010000229.1	JAICEO010000229.1_2	ArchPhaZ_patatin	484	1914	-	
GCA_025924135.1	JAICEO010000255.1	JAICEO010000255.1_1	ArchPhaZ_patatin	730	1830	-	
GCA_025934495.1	JAICXY010000001.1	JAICXY010000001.1_65	ArchPhaZ_patatin	63763	64992	-	BdhA;PhaJ
GCA_025934495.1	JAICXY010000045.1	JAICXY010000045.1_13	ArchPhaZ_patatin	13761	15209	+	
GCA_025934495.1	JAICXY010000005.1	JAICXY010000005.1_4	ArchPhaZ_patatin	3954	5249	+	
GCA_025934495.1	JAICXY010000159.1	JAICXY010000159.1_2	ArchPhaZ_patatin	1811	2980	-	
GCA_025934495.1	JAICXY010000053.1	JAICXY010000053.1_5	ArchPhaZ_patatin	3930	5393	-	
GCA_025934495.1	JAICXY010000048.1	JAICXY010000048.1_21	ArchPhaZ_patatin	18177	19340	+	
GCA_025934495.1	JAICXY010000137.1	JAICXY010000137.1_4	ArchPhaZ_patatin	4963	6345	+	
GCA_025934495.1	JAICXY010000006.1	JAICXY010000006.1_49	ArchPhaZ_patatin	50215	51639	+	
GCA_025934495.1	JAICXY010000117.1	JAICXY010000117.1_2	ArchPhaZ_patatin	459	1688	+	BdhA
GCA_025935105.1	JAICVW010000442.1	JAICVW010000442.1_3	ArchPhaZ_patatin	1429	2571	-	
GCA_025935105.1	JAICVW010000019.1	JAICVW010000019.1_11	ArchPhaZ_patatin	11957	13138	+	
GCA_025935105.1	JAICVW010000108.1	JAICVW010000108.1_4	ArchPhaZ_patatin	1431	2708	+	
GCA_025935105.1	JAICVW010000043.1	JAICVW010000043.1_5	ArchPhaZ_patatin	3075	4163	+	
GCA_025935105.1	JAICVW010000292.1	JAICVW010000292.1_3	ArchPhaZ_patatin	1966	3339	-	
GCA_025935105.1	JAICVW010000075.1	JAICVW010000075.1_4	ArchPhaZ_patatin	2394	3608	-	
GCA_025936955.1	JAICSL010000179.1	JAICSL010000179.1_1	ArchPhaZ_patatin	1	1107	-	
GCA_025936955.1	JAICSL010000325.1	JAICSL010000325.1_1	ArchPhaZ_patatin	391	1542	-	
GCA_025936955.1	JAICSL010000098.1	JAICSL010000098.1_2	ArchPhaZ_patatin	840	2135	-	
GCA_025936955.1	JAICSL010000278.1	JAICSL010000278.1_1	ArchPhaZ_patatin	1	894	+	
GCA_025937665.1	JAICQW010000269.1	JAICQW010000269.1_2	ArchPhaZ_patatin	1610	2323	-	
GCA_025937665.1	JAICQW010000066.1	JAICQW010000066.1_1	ArchPhaZ_patatin	3	701	+	
GCA_026552855.1	JAPMTX010000033.1	JAPMTX010000033.1_8	ArchPhaZ_patatin	7985	8971	+	
GCA_026552855.1	JAPMTX010000062.1	JAPMTX010000062.1_18	ArchPhaZ_patatin	13076	13888	+	
GCA_026552975.1	JAPMTR010000068.1	JAPMTR010000068.1_83	ArchPhaZ_patatin	63785	64774	+	
GCA_027314165.1	DAHVCH010000039.1	DAHVCH010000039.1_12	ArchPhaZ_patatin	9536	10735	-	
GCA_027315065.1	DAHUYT010000028.1	DAHUYT010000028.1_11	ArchPhaZ_patatin	8438	9538	+	PhaC;PhaE
GCA_027460465.1	JAPZAV010000144.1	JAPZAV010000144.1_12	ArchPhaZ_patatin	11458	12711	-	
GCA_027460525.1	JAPZAS010000031.1	JAPZAS010000031.1_10	ArchPhaZ_patatin	11722	12975	-	BdhA;PhaC;PhaE
GCA_027460535.1	JAPZAR010000006.1	JAPZAR010000006.1_22	ArchPhaZ_patatin	17287	18540	+	BdhA;PhaC;PhaE
GCA_027460585.1	JAPZAP010000074.1	JAPZAP010000074.1_2	ArchPhaZ_patatin	371	1342	-	
