pmid	title	journal	year	doi	oa_alex	oa_url	epmc_oa
16405909	The crystal structure of polyhydroxybutyrate depolymerase from Penicillium funiculosum provides insights into the recognition and degradation of biopolyesters.	Journal of molecular biology	2006	10.1016/j.jmb.2005.12.028	N		
16614903	A novel PHB depolymerase from a thermophilic Streptomyces sp.	Biotechnology letters	2006	10.1007/s10529-005-6063-5	N		
16935252	Characterization of two 3-hydroxybutyrate dehydrogenases in poly(3-hydroxybutyrate)-degradable bacterium, Ralstonia pickettii T1.	Journal of bioscience and bioengineering	2006	10.1263/jbb.101.501	N		
16936025	Identification and characterization of the Bacillus thuringiensis phaZ gene, encoding new intracellular poly-3-hydroxybutyrate depolymerase.	Journal of bacteriology	2006	10.1128/jb.00729-06	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/1636284	
16963553	Effects of mutations in the substrate-binding domain of poly[(R)-3-hydroxybutyrate] (PHB) depolymerase from Ralstonia pickettii T1 on PHB degradation.	Applied and environmental microbiology	2006	10.1128/aem.01187-06	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/1636158	
17064368	Isolation of a Gram-positive poly(3-hydroxybutyrate) (PHB)-degrading bacterium from compost, and cloning and characterization of a gene encoding PHB depolymerase of Bacillus megaterium N-18-25-9.	FEMS microbiology letters	2006	10.1111/j.1574-6968.2006.00448.x	Y	https://academic.oup.com/femsle/article-pdf/264/2/152/19125828/264-2-152.pdf	
17170116	Biochemical evidence that phaZ gene encodes a specific intracellular medium chain length polyhydroxyalkanoate depolymerase in Pseudomonas putida KT2442: characterization of a paradigmatic enzyme.	The Journal of biological chemistry	2007	10.1074/jbc.m608119200	Y	http://www.jbc.org/article/S0021925820650694/pdf	
17547455	Adsorption and hydrolysis reactions of poly(hydroxybutyric acid) depolymerases secreted from Ralstonia pickettii T1 and Penicillium funiculosum onto poly[(R)-3-hydroxybutyric acid].	Biomacromolecules	2007	10.1021/bm070231z	N		
17675423	Molecular characterization of the phaECHm genes, required for biosynthesis of poly(3-hydroxybutyrate) in the extremely halophilic archaeon Haloarcula marismortui.	Applied and environmental microbiology	2007	10.1128/aem.00953-07	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/2075026	
17964488	Purification and molecular cloning of an intracellular 3-hydroxybutyrate-oligomer hydrolase from Paucimonas lemoignei.	Journal of bioscience and bioengineering	2007	10.1263/jbb.104.224	N		
18156336	Poly(3-hydroxybutyrate) (PHB) depolymerase PhaZa1 is involved in mobilization of accumulated PHB in Ralstonia eutropha H16.	Applied and environmental microbiology	2008	10.1128/aem.02342-07	N		
18340545	Secretion pathway for the poly(3-hydroxybutyrate) depolymerase in Ralstonia pickettii T1.	Antonie van Leeuwenhoek	2008	10.1007/s10482-008-9235-1	N		
18706425	Structural basis of poly(3-hydroxybutyrate) hydrolysis by PhaZ7 depolymerase from Paucimonas lemoignei.	Journal of molecular biology	2008	10.1016/j.jmb.2008.07.078	N		
19103481	Enhanced production of medium-chain-length polyhydroxyalkanoates (PHA) by PHA depolymerase knockout mutant of Pseudomonas putida KT2442.	Bioresource technology	2009	10.1016/j.biortech.2008.11.020	N		
19107395	Stable expression and secretion of polyhydroxybutyrate depolymerase of Paucimonas lemoignei in Escherichia coli.	Journal of microbiology (Seoul, Korea)	2008	10.1007/s12275-008-0283-z	N		
19214501	An extracellular polyhydroxybutyrate depolymerase in Thermus thermophilus HB8.	Applied microbiology and biotechnology	2009	10.1007/s00253-008-1842-2	N		
19219638	Characterization of a novel 3-hydroxybutyrate dehydrogenase from Ralstonia pickettii T1.	Antonie van Leeuwenhoek	2009	10.1007/s10482-009-9308-9	N		
19267463	Simultaneous accumulation and degradation of polyhydroxyalkanoates: futile cycle or clever regulation?	Biomacromolecules	2009	10.1021/bm801431c	N		
19296857	The PHA Depolymerase Engineering Database: A systematic analysis tool for the diverse family of polyhydroxyalkanoate (PHA) depolymerases.	BMC bioinformatics	2009	10.1186/1471-2105-10-89	Y	https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/1471-2105-10-89	
19561190	Identification and characterization of a novel intracellular poly(3-hydroxybutyrate) depolymerase from Bacillus megaterium.	Applied and environmental microbiology	2009	10.1128/aem.00621-09	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/2725475	
19648370	Identification of the polyhydroxyalkanoate (PHA)-specific acetoacetyl coenzyme A reductase among multiple FabG paralogs in Haloarcula hispanica and reconstruction of the PHA biosynthetic pathway in Haloferax volcanii.	Applied and environmental microbiology	2009	10.1128/aem.00938-09	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/2753056	
19788655	The turnover of medium-chain-length polyhydroxyalkanoates in Pseudomonas putida KT2442 and the fundamental role of PhaZ depolymerase for the metabolic balance.	Environmental microbiology	2010	10.1111/j.1462-2920.2009.02061.x	N		
1989978	Metabolism of poly(3-hydroxyalkanoates) (PHAs) by Pseudomonas oleovorans. Identification and sequences of genes and function of the encoded proteins in the synthesis and degradation of PHA.	The Journal of biological chemistry	1991	10.1016/s0021-9258(18)52227-4	Y	https://doi.org/10.1016/s0021-9258(18)52227-4	
20058938	Degradation and adsorption characteristics of PHB depolymerase as revealed by kinetics of mutant enzymes with amino acid substitution in substrate-binding domain.	Biomacromolecules	2010	10.1021/bm900967a	N		
20346169	Identification and characterization of the intracellular poly-3-hydroxybutyrate depolymerase enzyme PhaZ of Sinorhizobium meliloti.	BMC microbiology	2010	10.1186/1471-2180-10-92	Y	https://bmcmicrobiol.biomedcentral.com/counter/pdf/10.1186/1471-2180-10-92	
20406286	The PhaD regulator controls the simultaneous expression of the pha genes involved in polyhydroxyalkanoate metabolism and turnover in Pseudomonas putida KT2442.	Environmental microbiology	2010	10.1111/j.1462-2920.2010.02199.x	N		
20437233	Identification of polyhydroxyalkanoates in Halococcus and other haloarchaeal species.	Applied microbiology and biotechnology	2010	10.1007/s00253-010-2611-6	Y	https://link.springer.com/content/pdf/10.1007/s00253-010-2611-6.pdf	
20516591	The structure of PhaZ7 at atomic (1.2 A) resolution reveals details of the active site and suggests a substrate-binding mode.	Acta crystallographica. Section F, Structural biology and crystallization communications	2010	10.1107/s174430911001434x	Y	http://journals.iucr.org/f/issues/2010/06/00/hv5155/hv5155.pdf	
21274528	Biochemical characterization of a new type of intracellular PHB depolymerase from Rhodospirillum rubrum with high hydrolytic activity on native PHB granules.	Applied microbiology and biotechnology	2011	10.1007/s00253-011-3096-7	N		
21369777	Purification, characterization and kinetic studies of a novel poly(β) hydroxybutyrate (PHB) depolymerase PhaZ(Pen) from Penicillium citrinum S2.	Applied biochemistry and biotechnology	2011	10.1007/s12010-011-9208-0	N		
21845385	Extracellular production of Streptomyces exfoliatus poly(3-hydroxybutyrate) depolymerase in Rhodococcus sp. T104: determination of optimal biocatalyst conditions.	Applied microbiology and biotechnology	2012	10.1007/s00253-011-3527-5	N		
21948827	Identification and characterization of a novel class of extracellular poly(3-hydroxybutyrate) depolymerase from Bacillus sp. strain NRRL B-14911.	Applied and environmental microbiology	2011	10.1128/aem.06069-11	Y	https://aem.asm.org/content/aem/77/22/7924.full.pdf	
22247127	Identification of the haloarchaeal phasin (PhaP) that functions in polyhydroxyalkanoate accumulation and granule formation in Haloferax mediterranei.	Applied and environmental microbiology	2012	10.1128/aem.07114-11	Y	https://aem.asm.org/content/aem/78/6/1946.full.pdf	
