genome	patatin_copies
GCA_006227785.1	3
GCA_006227805.1	1
GCA_006227825.1	2
GCA_006438735.1	1
GCA_006438845.1	1
GCA_006514895.1	4
GCA_006543605.1	1
GCA_006546595.1	2
GCA_006738865.1	2
GCA_006739055.1	1
GCA_006844665.1	1
GCA_006969625.1	1
GCA_007050995.1	1
GCA_007095475.1	1
GCA_007095785.1	1
GCA_007096045.1	1
GCA_007096525.1	1
GCA_007116035.1	1
GCA_007116135.1	2
GCA_007116445.1	2
GCA_007116755.1	2
GCA_007116835.1	1
GCA_007117005.1	1
GCA_007117255.1	1
GCA_007117515.1	1
GCA_007117665.1	3
GCA_007117785.1	1
GCA_007118075.1	1
GCA_007118295.1	1
GCA_007118445.1	1
GCA_007118805.1	2
GCA_007118895.1	2
GCA_007119095.1	1
GCA_007119175.1	1
GCA_007119595.1	1
GCA_007119835.1	3
GCA_007120035.1	1
GCA_007120685.1	1
GCA_007121055.1	1
GCA_007121115.1	1
GCA_007121485.1	2
GCA_007121755.1	2
GCA_007122455.1	2
GCA_007122885.1	3
GCA_007123015.1	1
GCA_007123575.1	1
GCA_007123625.1	2
GCA_007125005.1	1
GCA_007125415.1	2
GCA_007125475.1	1
GCA_007125745.1	2
GCA_007125985.1	2
GCA_007126375.1	2
GCA_007127165.1	2
GCA_007127175.1	2
GCA_007127235.1	2
GCA_007127625.1	4
GCA_007127715.1	1
GCA_007127935.1	2
GCA_007128135.1	1
GCA_007128995.1	2
GCA_007129135.1	1
GCA_007129145.1	1
GCA_007129225.1	2
GCA_007130525.1	4
GCA_007131045.1	1
GCA_007131235.1	2
GCA_007131465.1	1
GCA_007131685.1	2
GCA_007131945.1	1
GCA_007133115.1	1
GCA_007133195.1	1
GCA_007134055.1	3
GCA_007134485.1	1
GCA_007134805.1	1
GCA_007134865.1	2
GCA_007135015.1	1
GCA_007135085.1	1
GCA_007135355.1	1
GCA_007135395.1	2
GCA_007135435.1	1
GCA_007135745.1	1
GCA_007135795.1	1
GCA_007136145.1	1
GCA_007279715.1	2
GCA_007280205.1	3
GCA_007280315.1	1
GCA_007280335.1	1
GCA_007280465.1	2
GCA_007556525.1	1
GCA_007677875.1	4
GCA_007692435.1	1
GCA_007692485.1	1
GCA_007692585.1	1
GCA_007692655.1	1
GCA_007693435.1	1
GCA_007693535.1	1
GCA_007693685.1	2
GCA_007693835.1	1
GCA_007693855.1	2
GCA_007694015.1	3
GCA_007694055.1	2
GCA_007694885.1	1
GCA_007694935.1	1
GCA_007694945.1	1
GCA_007695005.1	2
GCA_007695045.1	1
GCA_007695145.1	1
GCA_007695245.1	1
GCA_007695345.1	1
GCA_007827375.1	2
GCA_007829435.1	2
GCA_007994965.1	3
GCA_008011715.2	4
GCA_008012115.1	1
GCA_008012315.1	4
GCA_008015235.1	2
GCA_008015455.1	1
GCA_008015835.1	1
GCA_008017155.1	3
GCA_008017315.1	1
GCA_008080565.1	2
GCA_008080595.1	2
GCA_008107755.1	1
GCA_008123405.1	1
GCA_008180335.1	1
GCA_008501585.1	3
GCA_008711135.1	2
GCA_008727115.1	2
GCA_008933495.1	1
GCA_008933675.1	3
GCA_008933705.1	1
GCA_008933825.1	1
GCA_009360345.1	2
GCA_009360885.1	1
GCA_009377385.1	1
GCA_009377395.1	1
GCA_009377445.1	2
GCA_009377475.1	1
GCA_009377525.1	3
GCA_009377535.1	1
GCA_009377575.1	6
GCA_009377585.1	1
GCA_009377695.1	2
GCA_009377755.1	1
GCA_009377865.1	1
GCA_009379735.1	1
GCA_009379815.1	1
GCA_009379865.1	7
GCA_009379975.1	1
GCA_009469585.1	4
GCA_009469675.1	1
GCA_009649675.1	1
