accession	type	length
GCA_001871115.1|MNUR01000039.1_28	SP	348
GCA_001871905.1|MNUG01000026.1_43	LIPO	351
GCA_001873585.1|MNZL01000009.1_4	SP	303
GCA_001873745.1|MNZQ01000184.1_12	LIPO	335
GCA_001874255.1|MPDC01000003.1_215	SP	339
GCA_001874305.1|MPCU01000006.1_200	SP	326
GCA_001874305.1|MPCU01000006.1_201	SP	334
GCA_001897035.1|MKRS01000668.1_1	SP	590
GCA_001897525.1|MKTB01000004.1_4	SP	388
GCA_001897535.1|MKTC01000040.1_80	SP	376
GCA_001898485.1|MKTY01000019.1_233	LIPO	311
GCA_001899145.1|MKVF01000006.1_6	SP	369
GCA_001899145.1|MKVF01000006.1_7	SP	385
GCA_001899315.1|MOYA01000003.1_398	SP	445
GCA_001899855.1|MKWR01000006.1_106	LIPO	364
GCA_001917535.1|MNEF01000067.1_3	SP	304
GCA_001917585.1|MNEG01000002.1_5	SP	315
GCA_001931535.1|CP016211.1_478	LIPO	456
GCA_001971685.1|CP019326.1_175	SP	350
GCA_002007425.1|MUGK01000077.1_20	SP	382
GCA_002007745.1|CP019882.1_1050	LIPO	281
GCA_002007745.1|CP019882.1_4176	SP	300
GCA_002021875.1|CP018627.1_863	SP	305
GCA_002021875.1|CP018627.1_9206	SP	340
GCA_002050455.1|MWZA01000055.1_5	SP	297
GCA_002067855.1|MVQS01000083.1_8	SP	318
GCA_002067975.1|MVRS01000195.1_17	SP	314
GCA_002069765.1|MWBZ01000097.1_2	LIPO	320
GCA_002070645.1|MWDQ01000141.1_5	SP	311
GCA_002083525.1|LWDM01000059.1_11	SP	305
GCA_002102225.1|LQPB01000090.1_145	LIPO	279
GCA_002102225.1|LQPB01000092.1_214	LIPO	313
GCA_002104535.1|NBOG01000001.1_50	SP	307
GCA_002104535.1|NBOG01000006.1_170	SP	766
GCA_002162675.1|MAAE01000006.1_12	SP	768
GCA_002162795.1|MAAY01000068.1_36	SP	273
GCA_002162925.1|MABC01000089.1_107	SP	322
GCA_002163155.1|MAAO01000002.1_103	SP	331
GCA_002163975.1|CP019636.1_4578	SP	357
GCA_002167465.1|NHBL01000032.1_2	SP	434
GCA_002167715.1|NHCG01000003.1_24	SP	306
GCA_002167775.1|NHBV01000038.1_17	SP	334
GCA_002167855.2|NHBG02000025.1_52	SP	344
GCA_002169695.1|NHJO01000011.1_14	LIPO	315
GCA_002169865.1|NHIC01000005.1_37	LIPO	323
GCA_002170005.2|NHGT02000013.1_14	LIPO	301
GCA_002170235.1|NHFO01000034.1_4	SP	344
GCA_002170355.2|NHET02000022.1_4	SP	309
GCA_002170735.1|NHIV01000060.1_11	SP	334
GCA_002171655.1|NHEC01000004.1_22	SP	488
GCA_002171655.1|NHEC01000047.1_33	LIPO	299
GCA_002171975.2|NHIO02000042.1_10	SP	466
GCA_002172625.1|NHEN01000070.1_21	SP	320
GCA_002205125.1|NIOE01000004.1_464	SP	414
GCA_002212725.1|MTCR01000130.1_62	LIPO	322
GCA_002212725.1|MTCR01000110.1_41	SP	380
GCA_002212725.1|MTCR01000097.1_67	SP	362
GCA_002212985.1|NBMY01000150.1_19	SP	380
GCA_002212985.1|NBMY01000072.1_2	SP	367
GCA_002212985.1|NBMY01000073.1_11	SP	372
GCA_002238425.1|MPMJ01000002.1_2	SP	383
GCA_002243285.1|CP022585.1_2574	SP	382
GCA_002254405.1|NJDH01000060.1_6	LIPO	295
GCA_002254405.1|NJDH01000018.1_14	LIPO	308
GCA_002255955.1|NKIM01000002.1_226	SP	339
GCA_002256115.1|NKIK01000014.1_75	SP	489
GCA_002257525.1|CP022737.1_164	SP	368
GCA_002279065.1|NCKB01000007.1_12	LIPO	346
GCA_002279065.1|NCKB01000009.1_199	LIPO	305
GCA_002280515.1|NCEA01000012.1_55	SP	296
GCA_002280725.1|NCEM01000004.1_13	LIPO	319
GCA_002287035.1|NSKG01000002.1_283	SP	283
GCA_002292815.1|DBBX01000003.1_78	SP	331
GCA_002295885.1|DBGM01000025.1_5	SP	546
GCA_002295925.1|DBGO01000010.1_235	LIPO	337
GCA_002297645.1|DBMH01000335.1_3	SP	374
GCA_002298785.1|DBMR01000097.1_21	SP	889
GCA_002298965.1|DBMN01000327.1_4	SP	314
GCA_002299785.1|DBNL01000056.1_7	SP	347
GCA_002300355.1|NSGV01000001.1_3877	SP	527
GCA_002303765.1|DBCB01000013.1_56	SP	324
GCA_002305505.1|DBRC01000033.1_2	SP	583
GCA_002307175.1|DBTS01000034.1_56	SP	340
GCA_002308075.1|DBUU01000043.1_5	SP	651
GCA_002308075.1|DBUU01000072.1_15	SP	333
GCA_002310215.1|DBYR01000021.1_111	SP	580
GCA_002310215.1|DBYR01000021.1_112	SP	585
GCA_002311645.1|DBYW01000001.1_88	SP	370
GCA_002311875.1|DCAD01000051.1_24	LIPO	275
GCA_002313415.1|DCBH01000030.1_4	SP	482
GCA_002313925.1|DCAZ01000050.1_11	LIPO	275
GCA_002314675.1|DCGZ01000058.1_2	SP	519
GCA_002317225.1|DCIW01000203.1_6	SP	463
GCA_002317475.1|DCIS01000187.1_17	SP	685
GCA_002317475.1|DCIS01000077.1_2	SP	463
GCA_002319885.1|DCFT01000228.1_9	LIPO	322
GCA_002321895.1|DCMZ01000003.1_132	SP	337
GCA_002323795.1|DCPZ01000067.1_7	SP	506
GCA_002327255.1|DCUM01000040.1_8	SP	396
GCA_002329525.1|DCTI01000206.1_55	SP	303
GCA_002331485.1|DCYS01000002.1_151	SP	377
GCA_002336805.1|DDEZ01000002.1_74	SP	377
GCA_002337055.1|DDFG01000005.1_868	SP	431
GCA_002337055.1|DDFG01000004.1_249	SP	307
GCA_002337085.1|DDFH01000003.1_535	SP	327
GCA_002338335.1|DDIC01000074.1_33	LIPO	307
GCA_002338515.1|DDIL01000050.1_55	SP	340
GCA_002339125.1|DDJQ01000143.1_43	SP	333
GCA_002339125.1|DDJQ01000152.1_27	SP	304
GCA_002339125.1|DDJQ01000023.1_31	SP	648
GCA_002340325.1|DDLV01000008.1_4	SP	646
GCA_002340325.1|DDLV01000032.1_30	SP	340
GCA_002343395.1|DDSN01000009.1_44	SP	586
GCA_002343395.1|DDSN01000051.1_33	SP	592
GCA_002344565.1|DDTZ01000142.1_26	LIPO	329
GCA_002344565.1|DDTZ01000035.1_28	SP	340
GCA_002344565.1|DDTZ01000149.1_3	SP	336
GCA_002344975.1|DDUV01000027.1_13	LIPO	323
GCA_002345025.1|DDUX01000140.1_63	SP	464
GCA_002345205.1|DDVI01000058.1_6	SP	340
GCA_002345205.1|DDVI01000031.1_47	LIPO	329
GCA_002345205.1|DDVI01000140.1_11	SP	336
GCA_002347035.1|DEAM01000010.1_7	LIPO	273
GCA_002348185.1|DDYW01000156.1_62	SP	319
GCA_002351955.1|DEHO01000044.1_25	SP	313
GCA_002352565.1|DEIQ01000122.1_22	LIPO	326
GCA_002352665.1|DEIV01000128.1_9	SP	321
GCA_002359215.1|DEMN01000012.1_894	LIPO	322
GCA_002359895.1|DEOB01000010.1_746	SP	336
GCA_002360455.1|DEQQ01000098.1_39	SP	369
GCA_002360495.1|DEQO01000179.1_9	SP	371
GCA_002364485.1|DEYK01000007.1_4	SP	344
GCA_002364535.1|DEYL01000053.1_11	LIPO	302
GCA_002364555.1|DEYM01000148.1_5	SP	341
GCA_002364975.1|DEYT01000147.1_19	SP	383
GCA_002365175.1|DEZK01000036.1_89	SP	334
GCA_002365175.1|DEZK01000013.1_120	SP	295
GCA_002366715.1|DFBS01000045.1_159	SP	374
GCA_002366775.1|DFBW01000113.1_2	LIPO	338
GCA_002368235.1|AP018194.1_4133	SP	320
GCA_002371265.1|DFGT01000033.1_15	SP	595
GCA_002371265.1|DFGT01000002.1_39	SP	810
GCA_002381045.1|DFWT01000271.1_22	SP	367
GCA_002381945.1|DFXY01000063.1_7	SP	332
GCA_002382445.1|DGAQ01000025.1_57	SP	316
GCA_002383695.1|DFZX01000065.1_58	SP	801
GCA_002384055.1|DGAU01000025.1_52	SP	377
GCA_002389045.1|DGNS01000009.1_503	SP	344
GCA_002389055.1|DGNT01000161.1_30	LIPO	619
GCA_002389055.1|DGNT01000071.1_18	SP	640
GCA_002389295.1|DGOE01000097.1_4	SP	394
GCA_002390745.1|DGQK01000037.1_6	SP	404
GCA_002390745.1|DGQK01000077.1_39	SP	380
GCA_002392915.1|DGHQ01000024.1_181	SP	594
GCA_002393575.1|DGSN01000012.1_20	SP	588
GCA_002398405.1|DGYN01000010.1_22	SP	305
GCA_002399735.1|DHEF01000008.1_63	SP	285
GCA_002400365.1|DHFK01000072.1_11	LIPO	323
GCA_002401055.1|NVRZ01000121.1_3	SP	392
GCA_002401725.1|NVTW01000038.1_1	SP	334
GCA_002401945.1|NVUP01000025.1_7	SP	270
GCA_002401955.1|NVUQ01000089.1_13	SP	297
GCA_002401955.1|NVUQ01000003.1_9	SP	381
GCA_002402165.1|NVVI01000046.1_7	SP	383
GCA_002403335.1|DHHO01000020.1_12	LIPO	311
GCA_002403455.1|DHHV01000093.1_17	SP	320
GCA_002408125.1|DHQO01000025.1_126	LIPO	318
GCA_002409405.1|DHNG01000045.1_91	SP	385
GCA_002410555.1|DHSR01000065.1_47	SP	387
GCA_002411345.1|DHSL01000058.1_16	SP	293
GCA_002412885.1|DHVX01000018.1_10	SP	385
GCA_002413145.1|DHWK01000149.1_21	SP	352
GCA_002413145.1|DHWK01000116.1_12	LIPO	418
GCA_002413345.1|DHWU01000008.1_21	LIPO	330
GCA_002415025.1|DIBR01000053.1_49	LIPO	391
GCA_002415335.1|DHXL01000257.1_14	SP	409
GCA_002415855.1|DIAS01000067.1_6	LIPO	329
GCA_002418945.1|DIFC01000063.1_1	SP	314
GCA_002419215.1|DIFQ01000099.1_37	LIPO	318
GCA_002420145.1|DIHL01000027.1_11	SP	380
GCA_002420145.1|DIHL01000037.1_9	SP	410
GCA_002421445.1|DIKB01000042.1_6	LIPO	329
GCA_002421805.1|DISM01000006.1_34	SP	305
GCA_002421995.1|DISP01000126.1_39	SP	395
GCA_002421995.1|DISP01000183.1_2	SP	383
GCA_002422285.1|DIUF01000096.1_7	SP	374
GCA_002422605.1|DISW01000006.1_99	SP	330
GCA_002424815.1|DILB01000005.1_33	LIPO	341
GCA_002425245.1|DILW01000118.1_3	SP	351
GCA_002425405.1|DIME01000062.1_6	SP	470
GCA_002425415.1|DIMG01000014.1_45	LIPO	353
GCA_002426025.1|DINP01000132.1_53	SP	378
GCA_002426795.1|DINQ01000021.1_104	SP	382
GCA_002427735.1|DIYP01000007.1_651	SP	314
GCA_002427735.1|DIYP01000012.1_2	SP	375
GCA_002428015.1|DIZW01000036.1_71	SP	356
GCA_002428265.1|DIUR01000001.1_242	SP	329
GCA_002428265.1|DIUR01000023.1_50	SP	551
GCA_002428365.1|DIVW01000043.1_95	LIPO	305
GCA_002428485.1|DIWM01000023.1_57	SP	314
GCA_002428985.1|DIYL01000053.1_343	SP	579
GCA_002432565.1|DJFP01000178.1_20	SP	382
GCA_002432565.1|DJFP01000043.1_18	SP	299
GCA_002432805.1|DJGV01000006.1_66	SP	332
GCA_002433485.1|DJIF01000120.1_6	LIPO	290
GCA_002433805.1|DJIW01000024.1_12	LIPO	507
GCA_002435595.1|DJBL01000023.1_57	SP	335
GCA_002435705.1|DIVA01000004.1_22	SP	334
GCA_002435705.1|DIVA01000046.1_14	SP	317
GCA_002435785.1|DIUC01000014.1_59	SP	375
GCA_002435795.1|DIUE01000016.1_178	SP	337
GCA_002435795.1|DIUE01000018.1_33	SP	329
GCA_002440705.1|DJVA01000047.1_16	SP	306
GCA_002440825.1|DJVH01000093.1_64	SP	321
GCA_002448555.1|DJYV01000164.1_2	SP	368
GCA_002449535.1|DJWZ01000031.1_13	SP	592
GCA_002450895.1|DKAR01000180.1_4	SP	319
GCA_002451065.1|DKBC01000183.1_10	SP	337
GCA_002451275.1|DKBS01000027.1_30	SP	300
GCA_002452695.1|DKFA01000106.1_12	LIPO	346
GCA_002453155.1|DKGG01000057.1_20	SP	304
GCA_002453275.1|DKGN01000071.1_3	SP	321
GCA_002454425.1|DKIV01000041.1_48	SP	313
GCA_002454505.1|DKJA01000097.1_18	SP	292
GCA_002457305.1|NTKG01000059.1_5	SP	295
GCA_002457715.1|NTKN01000026.1_5	LIPO	306
GCA_002469765.1|DKNS01000118.1_1	SP	312
GCA_002471375.1|DKPV01000073.1_18	SP	381
GCA_002471805.1|DKQR01000078.1_7	SP	309
GCA_002478225.1|DLMV01000006.1_11	SP	314
GCA_002482525.1|DLGC01000002.1_73	LIPO	307
GCA_002482715.1|DLGN01000089.1_2	SP	312
GCA_002482725.1|DLGO01000021.1_6	SP	380
GCA_002482845.1|DLGT01000019.1_7	SP	379
GCA_002483085.1|DLHF01000033.1_36	SP	372
GCA_002483135.1|DLHI01000022.1_151	LIPO	314
GCA_002483265.1|DLHO01000023.1_41	SP	369
GCA_002483265.1|DLHO01000026.1_416	SP	320
GCA_002483445.1|DLHY01000105.1_7	LIPO	256
GCA_002494765.1|DACJ01000030.1_1	SP	309
GCA_002501085.1|DLRL01000024.1_7	LIPO	275
GCA_002506745.1|DAYE01000064.1_9	LIPO	326
GCA_002529455.1|NYMS01000001.1_40	SP	445
GCA_002591745.1|PDLQ01000003.1_65	SP	388
GCA_002632325.1|NSJK01000015.1_58	SP	334
GCA_002634385.1|NSJL01000003.1_145	SP	308
GCA_002683315.1|NYTD01000147.1_5	LIPO	291
GCA_002684495.1|NYVG01000016.1_146	SP	303
GCA_002684855.1|NYWD01000056.1_9	SP	342
GCA_002686065.1|NYZX01000196.1_10	SP	328
GCA_002687015.1|NYZB01000041.1_16	SP	346
GCA_002689655.1|NZHC01000089.1_6	SP	292
GCA_002690085.1|NZDM01000074.1_5	LIPO	406
GCA_002690655.1|NZFL01000017.1_89	SP	375
GCA_002690755.1|NZFT01000023.1_5	SP	349
GCA_002690865.1|NZGG01000019.1_96	SP	341
GCA_002690865.1|NZGG01000027.1_25	SP	317
GCA_002690865.1|NZGG01000034.1_1	LIPO	360
GCA_002690915.1|NZGF01000084.1_51	SP	492
GCA_002690915.1|NZGF01000076.1_13	SP	370
GCA_002690945.1|NZGL01000007.1_45	LIPO	337
GCA_002690945.1|NZGL01000007.1_107	LIPO	339
GCA_002691645.1|NZIP01000031.1_33	LIPO	316
GCA_002691685.1|NZIQ01000083.1_1	LIPO	291
GCA_002691685.1|NZIQ01000041.1_7	LIPO	316
GCA_002693745.1|NZRJ01000067.1_12	SP	346
GCA_002693775.1|NZRP01000044.1_10	SP	356
GCA_002696025.1|NZQU01000098.1_6	LIPO	291
GCA_002696025.1|NZQU01000098.1_8	SP	288
GCA_002696275.1|NZRO01000030.1_24	SP	339
GCA_002696345.1|NZRT01000006.1_4	LIPO	311
GCA_002698365.1|NZWM01000049.1_7	SP	475
GCA_002698365.1|NZWM01000049.1_14	SP	349
GCA_002699585.1|PABP01000036.1_262	SP	299
GCA_002699585.1|PABP01000009.1_246	SP	577
GCA_002699585.1|PABP01000014.1_706	SP	317
GCA_002699585.1|PABP01000024.1_49	SP	320
GCA_002700095.1|PACL01000091.1_53	SP	436
GCA_002700845.1|PAFA01000090.1_8	SP	553
GCA_002701185.1|NZRW01000002.1_7	SP	435
GCA_002701365.1|NZUK01000036.1_40	SP	346
GCA_002701845.1|NZXG01000020.1_36	LIPO	347
GCA_002702065.1|NZXX01000009.1_186	SP	324
GCA_002702385.1|NZZF01000007.1_10	LIPO	305
GCA_002702575.1|PAAJ01000024.1_18	SP	343
GCA_002702895.1|PACX01000014.1_20	LIPO	300
GCA_002703045.1|PAEG01000024.1_18	LIPO	309
GCA_002703065.1|PAEO01000003.1_20	LIPO	313
GCA_002703375.1|NZTO01000066.1_11	SP	441
GCA_002707245.1|PAMG01000034.1_5	SP	346
GCA_002707495.1|PAMZ01000022.1_16	SP	286
GCA_002707525.1|PAND01000006.1_12	LIPO	306
GCA_002708715.1|PAPB01000020.1_6	LIPO	309
GCA_002708715.1|PAPB01000021.1_56	SP	360
GCA_002708905.1|PAPM01000039.1_269	LIPO	324
GCA_002708985.1|PAPS01000028.1_9	SP	301
GCA_002708995.1|PAPT01000032.1_61	SP	315
GCA_002709295.1|PAQL01000010.1_65	SP	349
GCA_002709295.1|PAQL01000024.1_6	SP	487
GCA_002710265.1|PAJW01000018.1_16	LIPO	323
GCA_002710495.1|PAKE01000011.1_15	SP	337
GCA_002710725.1|PAKT01000086.1_22	LIPO	386
GCA_002711125.1|PAHN01000004.1_143	SP	352
GCA_002711185.1|PAHL01000006.1_9	LIPO	299
GCA_002711415.1|PARI01000017.1_196	SP	531
GCA_002711465.1|PARL01000009.1_3	SP	437
GCA_002712005.1|PASP01000012.1_72	SP	320
GCA_002712135.1|PASO01000004.1_39	SP	322
GCA_002712135.1|PASO01000034.1_2	LIPO	342
GCA_002712165.1|PASS01000043.1_28	LIPO	301
GCA_002713385.1|PAWC01000033.1_5	SP	306
GCA_002713385.1|PAWC01000033.1_6	SP	395
GCA_002713455.1|PASX01000040.1_8	LIPO	284
GCA_002713705.1|PAUJ01000028.1_105	SP	380
GCA_002713885.1|PAVC01000009.1_10	LIPO	315
GCA_002714185.1|PAWM01000017.1_72	SP	467
GCA_002715445.1|PAZG01000004.1_4	SP	343
GCA_002715565.1|PAZP01000010.1_51	SP	351
GCA_002716065.1|PAZE01000018.1_19	LIPO	296
GCA_002716065.1|PAZE01000036.1_19	LIPO	284
GCA_002716585.1|PBBL01000049.1_9	LIPO	343
GCA_002716845.1|PBCE01000017.1_33	LIPO	307
GCA_002717485.1|PBDW01000004.1_2	SP	333
GCA_002717515.1|PBEC01000002.1_59	LIPO	297
GCA_002717655.1|PBAY01000029.1_6	SP	552
GCA_002720635.1|PBJD01000008.1_11	LIPO	297
GCA_002720865.1|PBIO01000020.1_33	SP	320
GCA_002722245.1|PBLA01000019.1_7	SP	403
GCA_002723085.1|PBNK01000026.1_30	SP	370
GCA_002723085.1|PBNK01000033.1_20	LIPO	303
GCA_002723385.1|PBNY01000035.1_30	SP	564
GCA_002724575.1|PBPC01000061.1_1	LIPO	285
GCA_002724675.1|PBPL01000011.1_7	LIPO	285
GCA_002724825.1|PBPU01000079.1_8	LIPO	321
GCA_002725015.1|PBQM01000063.1_2	SP	390
GCA_002725955.1|PBRN01000256.1_9	SP	316
GCA_002727775.1|PBUF01000056.1_32	LIPO	350
GCA_002728175.1|PBVH01000048.1_18	LIPO	351
GCA_002729235.1|PBTY01000081.1_50	SP	653
GCA_002729885.1|PBUB01000022.1_9	LIPO	314
GCA_002730315.1|PBZW01000022.1_2	SP	397
GCA_002730315.1|PBZW01000065.1_57	LIPO	306
GCA_002730855.1|PCBA01000028.1_5	SP	310
GCA_002730875.1|PCBI01000016.1_50	SP	334
GCA_002731275.1|PCBK01000132.1_36	LIPO	413
GCA_002731275.1|PCBK01000132.1_37	LIPO	368
GCA_002733185.1|NVUT01000008.1_75	LIPO	309
GCA_002733765.1|NVWU01000011.1_153	SP	326
GCA_002733985.1|NVXP01000065.1_20	SP	400
GCA_002733985.1|NVXP01000092.1_11	SP	370
GCA_002734065.2|NVXU02000009.1_33	SP	323
GCA_002734085.1|NVXV01000001.1_67	SP	375
GCA_002734085.1|NVXV01000003.1_181	SP	324
GCA_002746335.1|NVWW01000055.1_9	SP	377
GCA_002747185.1|PDTV01000004.1_63	SP	311
GCA_002747515.1|PDPP01000008.1_5	LIPO	339
GCA_002770955.1|PCUH01000156.1_15	SP	379
GCA_002770955.1|PCUH01000166.1_16	SP	295
GCA_002786715.1|PCTW01000012.1_3	SP	310
GCA_002787775.1|PCUW01000068.1_19	SP	331
GCA_002787815.1|PCUY01000044.1_11	SP	280
GCA_002790175.1|PFUQ01000160.1_16	SP	382
GCA_002790175.1|PFUQ01000171.1_8	SP	299
GCA_002794515.1|PGTJ01000220.1_3	SP	319
GCA_002796105.1|PCVX01000093.1_3	SP	300
GCA_002839435.1|PGYA01000055.1_22	SP	342
GCA_002839445.1|PGYB01000007.1_39	SP	341
GCA_002840095.1|PGZL01000003.1_6	SP	338
GCA_002840405.1|PHAR01000005.1_30	SP	457
GCA_002840435.1|PHAT01000003.1_114	SP	370
GCA_002840565.1|PHBK01000022.1_49	SP	332
GCA_002840685.1|PHBU01000006.1_158	LIPO	307
GCA_002840765.1|PHCE01000003.1_144	SP	352
GCA_002840785.1|PHCH01000007.1_18	SP	316
GCA_002840935.1|PHDH01000068.1_14	SP	315
GCA_002840935.1|PHDH01000078.1_12	SP	373
GCA_002841035.1|PHDR01000408.1_2	SP	379
GCA_002841035.1|PHDR01000292.1_2	SP	295
GCA_002841335.1|PHEY01000003.1_48	LIPO	298
GCA_002842215.1|PHCC01000011.1_135	SP	338
GCA_002842495.1|PHDB01000041.1_20	SP	369
GCA_002842755.1|PHDU01000010.1_46	SP	382
GCA_002843035.1|PHEV01000008.1_19	LIPO	311
GCA_002862205.1|PKCN01000191.1_8	SP	408
GCA_002862305.1|PKCS01000060.1_2	SP	483
GCA_002862435.1|PKDC01000057.1_130	SP	334
GCA_002862545.1|PKDJ01000347.1_10	LIPO	302
GCA_002862545.1|PKDJ01000221.1_13	TATLIPO	324
