accession,query_group,reviewed,organism,gene,ec,protein_name,length,lineage,evidence,retrieval_date,split
A0ACG4YVA5,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_27770,,Polyhydroxyalkanoate depolymerase,429,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,train
A0ACG4Z051,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_41650,,Poly(3-hydroxyalkanoate) depolymerase,276,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,train
A0ACG4Z1I4,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator,phaZ;PO002_37710,,Polyhydroxyalkanoate depolymerase,412,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,,2026-08-19,train
Q7WXF6,i-PhaZ_Cupriavidus_necator,false,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337),phaZ;PHG178,,Putative PHB depolymerase,245,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,pmid:12948488;doi:10.1016/S0022-2836(03)00894-5,2026-08-19,train
A0A0B4L3C7,i-PhaZ_Pseudomonas_putida,false,Pseudomonas putida,phaZ,,PHA depolymerase,205,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,pmid:25740622;doi:10.1264/jsme2.ME14138,2026-08-19,train
A0A0B4L3Q2,i-PhaZ_Pseudomonas_putida,false,Pseudomonas putida,phaZ,,PHA depolymerase,204,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,pmid:25740622;doi:10.1264/jsme2.ME14138,2026-08-19,train
A0ABM7EMK2,i-PhaZ_Pseudomonas_putida,false,Pseudomonas putida NBRC 14164,phaZ;PP4_50710,,Poly(3-hydroxyalkanoate) depolymerase,283,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,pmid:24526630;doi:10.1128/genomea.00029-14,2026-08-19,train
Q5Y152,i-PhaZ_Pseudomonas_putida,false,Pseudomonas putida,phaZ,,Poly(3-hydroxyalkanoate) depolymerase,285,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,pmid:16085828;doi:10.1128/AEM.71.8.4380-4387.2005,2026-08-19,validation
Q9R9W3,i-PhaZ_Pseudomonas_putida,false,Pseudomonas putida,phaZ;GN299_03040;P3W50_08575,,Poly(3-hydroxyalkanoate) depolymerase,283,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,pmid:10506180;doi:10.1074/jbc.274.41.29228,2026-08-19,validation
A0ABY7N197,e-PhaZ_Alcaligenes_faecalis,false,Alcaligenes faecalis,phaZ;M2J83_14530,,Polyhydroxyalkanoate depolymerase,407,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes,,2026-08-19,train
A0A3Q9BTL6,e-PhaZ_Undibacterium,false,Undibacterium parvum,phaZ;EJN92_20730,,Polyhydroxyalkanoate depolymerase,411,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium,pmid:20305060;doi:10.1099/ijs.0.018648-0,2026-08-19,train
A0ABY9RN41,e-PhaZ_Undibacterium,false,Undibacterium cyanobacteriorum,phaZ;RF679_08200,,Polyhydroxyalkanoate depolymerase,413,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium,,2026-08-19,train
A0A3N5XWX8,e-PhaZ_Alteromonas,false,Alteromonas sediminis,phaZ;DRW07_18175,,Polyhydroxyalkanoate depolymerase,406,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas/Salinimonas group;Alteromonas,,2026-08-19,train
A0ABT5L4W6,e-PhaZ_Alteromonas,false,Alteromonas gilva,phaZ;OIK42_15100,,Polyhydroxyalkanoate depolymerase,405,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas/Salinimonas group;Alteromonas,,2026-08-19,train
A0ABT7T1G3,e-PhaZ_Alteromonas,false,Alteromonas arenosi,phaZ;QTP81_16875,,Polyhydroxyalkanoate depolymerase,407,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas/Salinimonas group;Alteromonas,,2026-08-19,train
A0A0P0EZS7,i-PhaZ_Azospirillum_brasilense,false,Azospirillum brasilense,phaZ;SIM66_14415,,Polyhydroxyalkanoate depolymerase,406,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum,,2026-08-19,train
Q71KW6,i-PhaZ_Azospirillum_brasilense,false,Azospirillum brasilense,phaZ,,PHB depolymerase,603,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum,pmid:12898135;doi:10.1007/s00203-003-0590-z,2026-08-19,train
Q0K9H3,oligomer_hydrolase_EC3.1.1.22,true,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337),phaZ2;H16_A2251,,D-(-)-3-hydroxybutyrate oligomer hydrolase,718,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,pmid:12775684;15170237;16233278;16964242;doi:10.1007/s00284-003-4227-x;10.1038/nbt1244;10.1128/jb.185.12.3485-3490.2003;10.1263/jbb.94.106,2026-08-19,train
O05690,oligomer_hydrolase_EC3.1.1.22,true,Ralstonia pickettii,,,D-(-)-3-hydroxybutyrate oligomer hydrolase,722,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia,pmid:8981982;doi:10.1128/jb.179.1.72-77.1997,2026-08-19,train
Q9X6X9,oligomer_hydrolase_EC3.1.1.22,true,Ralstonia pickettii,,,D-(-)-3-hydroxybutyrate oligomer hydrolase,741,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia,pmid:15170237;doi:10.1007/s00284-003-4227-x,2026-08-19,validation
A1TRI4,oligomer_hydrolase_EC3.1.1.22,true,Paracidovorax citrulli (strain AAC00-1),Aave_3005,,D-(-)-3-hydroxybutyrate oligomer hydrolase,709,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax,,2026-08-19,train
Q1LLY7,oligomer_hydrolase_EC3.1.1.22,true,Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34),Rmet_1960,,D-(-)-3-hydroxybutyrate oligomer hydrolase,722,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,pmid:20463976;doi:10.1371/journal.pone.0010433,2026-08-19,train
A0K516,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia cenocepacia (strain HI2424),Bcen2424_0840,,D-(-)-3-hydroxybutyrate oligomer hydrolase,696,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex,,2026-08-19,train
A1KBP4,oligomer_hydrolase_EC3.1.1.22,true,Azoarcus sp. (strain BH72),azo3634,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus,pmid:17057704;doi:10.1038/nbt1243,2026-08-19,train
A1TWS1,oligomer_hydrolase_EC3.1.1.22,true,Marinobacter nauticus (strain ATCC 700491 / DSM 11845 / VT8),Maqu_0083,,D-(-)-3-hydroxybutyrate oligomer hydrolase,700,Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter,pmid:21335390;doi:10.1128/aem.01866-10,2026-08-19,train
A1V1X3,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia mallei (strain SAVP1),BMASAVP1_A0886,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:20333227;doi:10.1093/gbe/evq003,2026-08-19,train
A1VUF3,oligomer_hydrolase_EC3.1.1.22,true,Polaromonas naphthalenivorans (strain CJ2),Pnap_3987,,D-(-)-3-hydroxybutyrate oligomer hydrolase,706,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas,pmid:19453698;doi:10.1111/j.1462-2920.2009.01947.x,2026-08-19,validation
A2S9Q3,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia mallei (strain NCTC 10229),BMA10229_A2720,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:20333227;doi:10.1093/gbe/evq003,2026-08-19,validation
A3MME1,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia mallei (strain NCTC 10247),BMA10247_1890,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:20333227;doi:10.1093/gbe/evq003,2026-08-19,train
A3NCT8,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia pseudomallei (strain 668),BURPS668_3147,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:20333227;doi:10.1093/gbe/evq003,2026-08-19,train
A3NYK1,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia pseudomallei (strain 1106a),BURPS1106A_3184,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:20333227;doi:10.1093/gbe/evq003,2026-08-19,train
A4JBY8,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia vietnamiensis (strain G4 / LMG 22486),Bcep1808_0779,,D-(-)-3-hydroxybutyrate oligomer hydrolase,696,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex,,2026-08-19,validation
Q0BHU5,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia ambifaria (strain ATCC BAA-244 / DSM 16087 / CCUG 44356 / LMG 19182 / AMMD),Bamb_0719,,D-(-)-3-hydroxybutyrate oligomer hydrolase,695,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex,,2026-08-19,train
Q122D1,oligomer_hydrolase_EC3.1.1.22,true,Polaromonas sp. (strain JS666 / ATCC BAA-500),Bpro_4732,,D-(-)-3-hydroxybutyrate oligomer hydrolase,706,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas,pmid:18723656;doi:10.1128/aem.00197-08,2026-08-19,train
Q13Q76,oligomer_hydrolase_EC3.1.1.22,true,Paraburkholderia xenovorans (strain LB400),Bxeno_B0795;Bxe_B2223,,D-(-)-3-hydroxybutyrate oligomer hydrolase,707,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia,pmid:17030797;doi:10.1073/pnas.0606924103,2026-08-19,train
Q1BYN6,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia orbicola (strain AU 1054),Bcen_0357,,D-(-)-3-hydroxybutyrate oligomer hydrolase,696,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia orbicola,,2026-08-19,validation
Q21U20,oligomer_hydrolase_EC3.1.1.22,true,Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),Rfer_3022,,D-(-)-3-hydroxybutyrate oligomer hydrolase,704,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax,,2026-08-19,train
Q2SYN3,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CCUG 48851 / CIP 106301 / E264),BTH_I1420,,D-(-)-3-hydroxybutyrate oligomer hydrolase,698,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:16336651;doi:10.1186/1471-2164-6-174,2026-08-19,train
Q39J35,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383),Bcep18194_A3932,,D-(-)-3-hydroxybutyrate oligomer hydrolase,696,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex,,2026-08-19,train
Q3JPD1,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia pseudomallei (strain 1710b),BURPS1710b_3200,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:20333227;doi:10.1093/gbe/evq003,2026-08-19,train
Q46ZT8,oligomer_hydrolase_EC3.1.1.22,true,Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197),Reut_A1981,,D-(-)-3-hydroxybutyrate oligomer hydrolase,707,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,pmid:20339589;doi:10.1371/journal.pone.0009729,2026-08-19,train
Q62I60,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia mallei (strain ATCC 23344),BMA2028,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:15377793;doi:10.1073/pnas.0403306101,2026-08-19,train
Q63RF6,oligomer_hydrolase_EC3.1.1.22,true,Burkholderia pseudomallei (strain K96243),BPSL2716,,D-(-)-3-hydroxybutyrate oligomer hydrolase,699,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group,pmid:15377794;doi:10.1073/pnas.0403302101,2026-08-19,train
Q8XZR1,oligomer_hydrolase_EC3.1.1.22,true,Ralstonia nicotianae (strain ATCC BAA-1114 / GMI1000),RSc1334,,D-(-)-3-hydroxybutyrate oligomer hydrolase,725,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia solanacearum species complex,pmid:11823852;doi:10.1038/415497a,2026-08-19,train
Q79F77,oligomer_hydrolase,true,Paenarthrobacter ureafaciens,nylC,,6-aminohexanoate-oligomer endohydrolase,355,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Paenarthrobacter,pmid:1459943;17827307;22187439;24100570;29950566;7582019;8285701;doi:10.1038/s41598-018-27860-w;10.1074/jbc.m111.321992;10.1099/13500872-141-10-2585;10.1107/s1744309113024263;10.1128/aem.00777-07;10.1128/aem.59.11.3978-3980.1993;10.1128/jb.174.24.7948-7953.1992,2026-08-19,train
Q1EPR4,oligomer_hydrolase,true,Kocuria sp. (strain KY2),nylC,,6-aminohexanoate-oligomer endohydrolase,355,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria,pmid:17827307;doi:10.1128/aem.00777-07,2026-08-19,train
Q1EPR5,oligomer_hydrolase,true,Agromyces sp. (strain KY5R),nylC,,6-aminohexanoate-oligomer endohydrolase,355,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agromyces,pmid:17827307;18215642;21821888;22187439;doi:10.1074/jbc.m111.321992;10.1107/s1744309111022858;10.1128/aem.00777-07;10.1263/jbb.104.521,2026-08-19,train
Q4W8C9,oligomer_hydrolase,true,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337),phaZc;H16_A1335,,3-hydroxybutyrate-oligomer hydrolase,293,Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,pmid:16030206;16964242;doi:10.1038/nbt1244;10.1128/jb.187.15.5129-5135.2005,2026-08-19,train
P07061,oligomer_hydrolase,true,Paenarthrobacter ureafaciens,nylB,,6-aminohexanoate-dimer hydrolase,392,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Paenarthrobacter,pmid:2512123;6389532;6646204;doi:10.1016/s0021-9258(18)89791-5;10.1038/306203a0;10.1111/j.1432-1033.1989.tb15144.x,2026-08-19,train
P07062,oligomer_hydrolase,true,Paenarthrobacter ureafaciens,nylB',,6-aminohexanoate-dimer hydrolase,392,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Paenarthrobacter,pmid:1879421;6389532;6646204;doi:10.1016/s0021-9258(18)89791-5;10.1038/306203a0;10.1111/j.1432-1033.1991.tb21063.x,2026-08-19,train
D4A1J4,3HB_dehydrogenase_EC1.1.1.30,true,Rattus norvegicus,Bdh2,,Dehydrogenase/reductase SDR family member 6,245,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Rattus,pmid:35150746;doi:10.1016/j.jbc.2022.101708,2026-08-19,train
P29147,3HB_dehydrogenase_EC1.1.1.30,true,Rattus norvegicus,Bdh1,,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",343,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Rattus,pmid:15489334;1567834;22673903;24098488;8515054;doi:10.1021/bi00130a009;10.1038/ncomms1871;10.1101/gr.2596504;10.1177/41.7.8515054;10.1371/journal.pone.0076399,2026-08-19,train
Q02337,3HB_dehydrogenase_EC1.1.1.30,true,Bos taurus,BDH1,,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",344,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Bovinae;Bos,pmid:1639787;2550053;3527172;6822516;718894;doi:10.1016/0005-2736(78)90178-5;10.1016/s0021-9258(18)33143-0;10.1016/s0021-9258(19)49556-2;10.1021/bi00439a007,2026-08-19,train
Q561X9,3HB_dehydrogenase_EC1.1.1.30,true,Danio rerio,bdh2;si:dkey-162b23.2;zgc:110323,,Dehydrogenase/reductase SDR family member 6,245,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Ostariophysi;Cypriniformes;Danionidae;Danioninae;Danio,pmid:20550936;23594743;doi:10.1016/j.cell.2010.04.040;10.1038/nature12111,2026-08-19,train
Q8JZV9,3HB_dehydrogenase_EC1.1.1.30,true,Mus musculus,Bdh2,,Dehydrogenase/reductase SDR family member 6,245,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus,pmid:15489334;20550936;21183079;24777603;24863067;doi:10.1016/j.cell.2010.04.040;10.1016/j.cell.2010.12.001;10.1084/jem.20132629;10.1101/gr.2596504;10.1128/mcb.00231-14,2026-08-19,train
Q9BUT1,3HB_dehydrogenase_EC1.1.1.30,true,Homo sapiens,BDH2;UNQ6308/PRO20933,,Dehydrogenase/reductase SDR family member 6,245,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Euarchontoglires;Primates;Haplorrhini;Catarrhini;Hominidae;Homo,pmid:10931946;12975309;14702039;15489334;15815621;16380372;21269460;22527885;35150746;doi:10.1007/s00109-012-0899-7;10.1016/j.jbc.2022.101708;10.1038/nature03466;10.1038/ng1285;10.1073/pnas.160270997;10.1074/jbc.m511346200;10.1101/gr.1293003;10.1101/gr.2596504;10.1186/1752-0509-5-17,2026-08-19,train
C1C4R8,3HB_dehydrogenase_EC1.1.1.30,true,Aquarana catesbeiana,bdh2,,Dehydrogenase/reductase SDR family member 6,245,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Amphibia;Batrachia;Anura;Neobatrachia;Ranoidea;Ranidae;Aquarana,,2026-08-19,train
Q02338,3HB_dehydrogenase_EC1.1.1.30,true,Homo sapiens,BDH1,,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",343,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Euarchontoglires;Primates;Haplorrhini;Catarrhini;Hominidae;Homo,pmid:15489334;1639787;24275569;25944712;doi:10.1002/pmic.201400617;10.1016/j.jprot.2013.11.014;10.1016/s0021-9258(19)49556-2;10.1101/gr.2596504,2026-08-19,train
Q3KPT7,3HB_dehydrogenase_EC1.1.1.30,true,Xenopus laevis,bdh2,,Dehydrogenase/reductase SDR family member 6,245,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Amphibia;Batrachia;Anura;Pipoidea;Pipidae;Xenopodinae;Xenopus;Xenopus,,2026-08-19,train
Q3T046,3HB_dehydrogenase_EC1.1.1.30,true,Bos taurus,BDH2,,Dehydrogenase/reductase SDR family member 6,245,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Bovinae;Bos,,2026-08-19,validation
Q80XN0,3HB_dehydrogenase_EC1.1.1.30,true,Mus musculus,Bdh1,,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",343,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Mus;Mus,pmid:15489334;16141072;21183079;23576753;23806337;doi:10.1016/j.cell.2010.12.001;10.1016/j.molcel.2013.06.001;10.1073/pnas.1302961110;10.1101/gr.2596504;10.1126/science.1112014,2026-08-19,train
P86198,3HB_dehydrogenase_EC1.1.1.30,true,Mesocricetus auratus,BDH1,,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",132,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Cricetinae;Mesocricetus,pmid:20400973;doi:10.1038/aja.2010.19,2026-08-19,train
Q5ZJZ5,3HB_dehydrogenase_EC1.1.1.30,true,Gallus gallus,BDH1;RCJMB04_14d17,,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",339,Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Galliformes;Phasianidae;Phasianinae;Gallus,pmid:15642098;doi:10.1186/gb-2004-6-1-r6,2026-08-19,validation
